,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,artist
67,,,,,,,,,,1773083.99,EMILIANO DI CAVALCANTI (1897-1976)
68,974289.24,291959.28,968437.05,180145.15,1174763.5899999999,1030500.18,186827.11,721344.45,372822.6,332453.25,ARMANDO REVERÓN (1889-1954)
69,518760.05,2104192.19,1068387.7400000002,1888966.83,585433.14,421144.24,2395544.69,561974.51,174427.71,202079.41999999998,DIEGO RIVERA (1886-1957)
70,,,,,,,,53932.3,,234672.88,ERNEST CHARTON (1815-1877)
71,0.0,85651.31999999999,185832.05,,89638.36,0.0,,0.0,151792.06,195560.73,ÁNGEL ZÁRRAGA (1886-1946)
72,,,5192891.980000001,8771847.14,2941919.8400000003,6056794.93,5279485.670000001,4871434.559999999,4081075.96,5644143.54,FERNANDO BOTERO (B. 1932)
73,177521.32,4100687.1900000004,3907309.3600000003,1294544.6600000001,818993.96,3337328.0199999996,1572101.51,1399003.7499999998,832992.2,1182490.58,MATTA (1911-2002)
74,1655876.12,33515.73,6385412.0,1447554.3800000001,5501206.34,241026.19,37122.44,2027854.3,1519252.1,130373.81999999999,WIFREDO LAM (1902-1982)
75,1307215.9200000002,1062374.25,614652.7,716886.7800000001,130838.59999999999,117975.25,58046.0,,47934.34,14341.12,FRANCISCO ZÚÑIGA (1912-1998)
76,,,,,,,,,,117336.44,PABLO ATCHUGARRY (B. 1954)
77,5058170.16,940674.92,378112.53,936527.4800000001,284504.36,2955691.7800000003,2289172.02,3260746.58,1303547.5799999998,979628.8899999999,JOAQUÍN TORRES-GARCÍA (1874-1949)
78,1455941.99,194540.22,209867.11,223902.8,288958.44,271068.73,338151.66,399098.99,93205.65,234672.88,TOMÁS SÁNCHEZ (B. 1948)
79,504065.55,162663.03,306447.01,130562.62,76276.12,26064.3,54671.22,168538.41999999998,113178.28,104299.06,JULIO LARRAZ (B. 1944)
80,,,,,,384242.68,30372.9,1508216.6400000004,62580.94,0.0,ARMANDO MORALES (1927-2011)
81,,,,,,,,,,62579.43,TILSA TSUCHIYA (1928-1984)
82,,,,,,,,,77227.54000000001,443270.99000000005,CLAUDIO BRAVO (1936-2011)
83,,,57889.32000000001,53276.37,,163519.2,,,371224.79,91261.68,CONRAD WISE CHAPMAN (1842-1913)
84,,331880.24,354663.69,,,,,,,117336.44,ÉDOUARD-HENRI-THÉOPHILE PINGRET (1788-1875)
85,,,,,,,,,,221635.5,JOAQUÍN CLAUSELL (1866-1935)
86,,,,,,,,,,0.0,ATTRIBUTED TO JOSÉ CAMPECHE Y JORDÁN (1751-1809)
87,,,,,,,,,,41719.62,FAMILIA CASTILLO
88,,,,,,,,,,2868.22,MANUEL JERÓNIMO REYES
89,,,,,,,,,,2868.22,ERNESTO JAVIER CORONA GONZÁLEZ
